Utterance	POV Converted Text
Remind CN to order wedding cake at Dale's Eden 	SCN reminds to order wedding cake at Dale's Eden 
Remind CN to forward the coupon code after reaching home 	SCN reminds to forward the coupon code after reaching home 
Remind CN to collect the buffet money by end of the day 	SCN reminds to collect the buffet money by end of the day 
Remind CN to forward the transaction confirmation message once payment is made 	SCN reminds to forward the transaction confirmation message once payment is made 
Remind CN to get vennila shake at thick shake factory 	SCN reminds to get vennila shake at thick shake factory 
Remind CN to paint the rims before changing alloy	SCN reminds to paint the rims before changing alloy
Remind CN to get wraps at starbucks 	SCN reminds to get wraps at starbucks 
Remind CN to use food card at the store 	SCN reminds to use food card at the store 
Remind CN to rework the fence on Sunday 	SCN reminds to rework the fence on Sunday 
Remind CN to call toll free number 	SCN reminds to call toll free number 
Remind CN to contact ram 	SCN reminds to contact ram 
Remind CN to bring bat from the school	SCN reminds to bring bat from the school
Remind CN to watch volleyball match in the evening 	SCN reminds to watch volleyball match in the evening 
Remind CN to get i9 processor at the imagine store	SCN reminds to get i9 processor at the imagine store
Remind CN to bring original license from home	SCN reminds to bring original license from home
Remind CN to install netbeans before starting the tutorial 	SCN reminds to install netbeans before starting the tutorial 
Remind CN to change the speaker wire 	SCN reminds to change the speaker wire 
Remind CN to configure the controls before starting the game 	SCN reminds to configure the controls before starting the game 
Remind CN to change the page format before uploading 	SCN reminds to change the page format before uploading 
Remind CN to start with stretches in the morning 	SCN reminds to start with stretches in the morning 
Remind CN to speak with security while returning home 	SCN reminds to speak with security while returning home 
Remind CN to prepare burger for dinner 	SCN reminds to prepare burger for dinner 
Remind CN to send the transaction history 	SCN reminds to send the transaction history 
Remind CN to change the format before downloading 	SCN reminds to change the format before downloading 
Remind CN to share the music link after completing work 	SCN reminds to share the music link after completing work 
Remind CN to pre-apply leaves a week before 	SCN reminds to pre-apply leaves a week before 
Remind CN to borrow the book from library 	SCN reminds to borrow the book from library 
Remind CN to apply a new debit card first in the morning 	SCN reminds to apply a new debit card first in the morning 
Remind CN to book hotel for a week 	SCN reminds to book hotel for a week 
Remind CN to charge the powerbank after usage 	SCN reminds to charge the powerbank after usage 
Remind CN to check the emi period options while purchasing 	SCN reminds to check the emi period options while purchasing 
Remind CN to use prime account while ordering products 	SCN reminds to use prime account while ordering products 
Remind CN to make sweets at home	SCN reminds to make sweets at home
Remind CN to purchase bluetooth keyboard	SCN reminds to purchase bluetooth keyboard
Remind CN to compare the products specification at the store 	SCN reminds to compare the products specification at the store 
Remind CN to change the silencer at the store 	SCN reminds to change the silencer at the store 
Remind CN to sell the vehicle today 	SCN reminds to sell the vehicle today 
Remind CN to update the wiki everyday 	SCN reminds to update the wiki everyday 
Remind CN to pay maintence cost every month 	SCN reminds to pay maintence cost every month 
Remind CN to repay the money before the month ends 	SCN reminds to repay the money before the month ends 
Remind CN to schedule the review on Friday 	SCN reminds to schedule the review on Friday 
Remind CN to buy bean bag in the morning 	SCN reminds to buy bean bag in the morning 
Remind CN to scan the barcode before taking devices 	SCN reminds to scan the barcode before taking devices 
Remind CN to close the ticket after sharing feedback 	SCN reminds to close the ticket after sharing feedback 
Remind CN to get perfume at the store directly 	SCN reminds to get perfume at the store directly 
Remind CN to check the sale at max on the way back to home 	SCN reminds to check the sale at max on the way back to home 
Ask CN whether to get Pringles or Lay's 	SCN is asking whether to get Pringles or Lay's 
Ask CN whether to order Surge Soda or Mellow Yellow	SCN is asking whether to order Surge Soda or Mellow Yellow
Ask CN whether to make Black coffee or cream and sugar	SCN is asking whether to make Black coffee or cream and sugar
Ask CN whether to get Mullet or mutton chops	SCN is asking whether to get Mullet or mutton chops
Ask CN whether to purchase Nintendo or Sega	SCN is asking whether to purchase Nintendo or Sega
Ask CN whether to download Marvel or DC Comics collection series 	SCN is asking whether to download Marvel or DC Comics collection series 
Ask CN whether to join Aerobic exercise or cardio 	SCN is asking whether to join Aerobic exercise or cardio 
Ask CN whether to play Baseball or football 	SCN is asking whether to play Baseball or football 
Ask CN whether to pay for Skydiving or bungee jumping 	SCN is asking whether to pay for Skydiving or bungee jumping 
Ask CN whether to test drive Harley Davidson or Crotch Rocket 	SCN is asking whether to test drive Harley Davidson or Crotch Rocket 
Ask CN whether to take children to Theme park or water park 	SCN is asking whether to take children to Theme park or water park 
Ask CN whether to use Fan or air conditioner 	SCN is asking whether to use Fan or air conditioner 
Ask CN whether to transfer in PayPal or bank account 	SCN is asking whether to transfer in PayPal or bank account 
Ask CN whether to place order in eBay or Amazon 	SCN is asking whether to place order in eBay or Amazon 
Ask CN whether to come for SCNtmas or Halloween 	SCN is asking whether to come for SCNtmas or Halloween 
can you ask CN about the Crotch Rocket bobber	SCN wants to know about the Crotch Rocket bobber
can you ask CN about owning a hedgehog as pet 	SCN wants to know about owning a hedgehog as pet 
can you ask CN about the Cruise experience 	SCN wants to know about the Cruise experience 
can you ask CN about Gamerz Den arcade	SCN wants to know about Gamerz Den arcade
can you ask CN about Cookie dough 	SCN wants to know about Cookie dough 
can you ask CN about The Simpsons series 	SCN wants to know about The Simpsons series 
can you ask CN about piano classes 	SCN wants to know about piano classes 
can you ask CN about eBook websites 	SCN wants to know about eBook websites 
can you ask CN about broccoli nutrition facts 	SCN wants to know about broccoli nutrition facts 
can you ask CN about the language requirements 	SCN wants to know about the language requirements 
can you ask CN about the shift timing	SCN wants to know about the shift timing
tell CN to buy grinder.	hi CN, SCN tells you to buy grinder.
can you ask CN to study in england.	hi CN, SCN asks you to study in england.
can you tell CN to purchase a cooker at 5pm.	hi CN, SCN tells you to purchase a cooker at 5pm.
tell CN to build a plan before 6pm.	hi CN, SCN asks you to build a plan before 6pm.
tell CN to send a best wishes card to justin on 31st dec.	hi CN, SCN asks you to send a best wishes card to justin on 31st dec.
tell CN to wish bravo happy birthday at 12 am	hi CN, SCN tells you to wish bravo happy birthday at 12 am
can you tell CN to wish for wedding on 21st aug.	hi CN, SCN tells you to wish for wedding on 21st aug.
tell CN to buy sofa .	hi CN, SCN tells you to buy sofa.
can you ask CN to buy jars.	hi CN, SCN asks you to buy jars.
ask CN to build a sandcatle.	hi CN, SCN is asking you to build a sandcastle.
ask CN to call raghav at 10pm.	hi CN, SCN tells you to call raghav at 10pm.
can you tell CN to backup the story.	hi CN, SCN tells you to backup the story.
tell CN to be in the pub before 8pm.	hi CN, SCN tells you to be in the pub before 8pm.
can you ask CN to layoff the employees before 1st april.	hi CN, SCN asks you to layoff the employees before 1st april.
tell CN to write down the instructions before Sunday.	hi CN, SCN tells you to write down the instructions before Sunday.
ask CN to plan for a kanyakumari trip on 24th jan.	hi CN, SCN asks you to plan for a kanyakumari trip on 24th jan.
tell CN to visit kerala on 23rd mar.	hi CN, SCN tells you to visit kerala on 23rd mar.
ask CN to turn away the event.	hi CN, SCN asks you to turn away the event.
can you ask CN to give rachel a present on 12th july.	hi CN, SCN asks you to give rachel a present on 12th july.
ask CN to send wishes for birthday.	hi CN, SCN asks you to send wishes for birthday .
can you ask CN to write up the report.	hi CN, SCN asks you to write up the report.
ask CN to make jaggeri at 7pm.	hi CN, SCN asks you to make jaggeri at 7pm.
can you ask CN to sum up the discussion.	hi CN, SCN asks you to sum up the discussion.
can you ask CN to invite sibi for birthday party on 12th may.	hi CN, SCN asks you to invite sibi for birthday party on 12th may.
ask CN to scale down the plans before 8pm.	hi CN, SCN asks you to scale down the plans before 8pm.
ask CN to go to shruthi's house on Sunday.	hi CN, SCN asks you to go to shruthi's house on Sunday.
could you please ask CN to buy a cookware.	hi CN, SCN would like you to buy a cookware.
ask CN to break in the new hiking boots.	hi CN, SCN requests you to break in the new hiking boots.
could you ask CN to bring back the library books.	hi CN, SCN asks you to bring back the library books.
ask CN to join the conference call at 5 pm	hi CN, SCN requests you to join the conference call at 5 pm
could you ask CN to watch darbar in theatre	hi CN, SCN would like you to watch darbar in theatre
tell CN to give back the bicycle.	hi CN, SCN says you to give back the bicycle.
tell CN the tomato was being baked.	hi CN, SCN tells the tomato was being baked.
tell CN mr.justin is an arrogant person.	hi CN, SCN tells mr.justin is an arrogant person.
can you tell CN SCN has won the race.	hi CN, SCN tells SCN has won the race.
tell CN the street is very busy today.	hi CN, SCN tells the street is very busy today
tell CN it often snows in winter.	hi CN, SCN says it often snows in winter.
can you tell CN Mr. Thomas teaches us science.	hi CN, SCN says Mr. Thomas teaches us science.
tell CN Dad will be back for dinner.	hi CN, SCN says Dad will be back for dinner.
can you tell CN SCN spoke politely to his teacher.	hi CN, SCN says SCN spoke politely to his teacher.
can you ask CN if she wants wet wipes or dry wipes.	hi CN, SCN is asking if you want wet wipes or dry wipes.
ask CN if she wants study table or office table.	hi CN, SCN is asking if you want study table or office table.
can you ask CN if she wants treadmills or exercise bikes.	hi CN, SCN is asking if you want treadmills or exercise bikes.
ask CN if she likes dhoni or kohli.	hi CN, SCN is asking if you like dhoni or kohli.
can you ask CN if she prefers puma or nike.	hi CN, SCN asks if you prefer puma or nike.
ask CN if she prefers levi's or hrx.	hi CN, SCN asks if you prefer levi's or hrx.
ask CN if she likes casual or western wear.	hi CN, SCN is asking if you like casual or western wear.
can you ask CN if she likes headphones or speakers.	hi CN, SCN asks if you like headphones or speakers.
can you ask CN if she likes kaspersky or norton antivirus.	hi CN, SCN asks if you like kaspersky or norton antivirus.
ask CN if she prefers gap or forever new.	hi CN, SCN is asking if you prefer gap or forever new.
can you ask CN if she prefers day out or night out.	hi CN, SCN is asking if you prefer day out or night out.
can you ask CN if she wants kurtas or tops.	hi CN, SCN is asking if you want kurtas or tops.
can you ask CN how about snackbar	hi CN, SCN says how about some snackbar?
ask CN how about dinner in foodtruck.	hi CN, SCN says how about dinner in foodtruck.
can you ask CN how about a trip to kashmir.	hi CN, SCN says how about a trip to kashmir?
ask CN how about moisturising lotion.	hi CN, SCN says how about moisturising lotion?
ask CN how about playing basketball.	hi CN, SCN says how about playing basketball?
can you ask CN how about activity trackers.	hi CN, SCN says how about activity trackers?
ask CN how about having white jacket.	hi CN, SCN says how about having white jacket?
ask CN how about a cup of tea.	hi CN, SCN asks how about a cup of tea?
ask CN how about buying dinner sets.	hi CN, SCN asks how about buying dinner sets?
can you ask CN how about a new series.	hi CN, SCN asks how about getting a new series?
ask CN how about learning danish.	hi CN, SCN says how about learning danish?
ask CN about the brunch	hi CN, SCN requested to know about the brunch.
can you ask CN about the watch	hi CN, SCN would like to know about the watch.
please ask CN about the folder	hi CN, SCN wanted to know about the folder.
ask CN about michael	hi CN, SCN asked about michael.
can you ask CN about the tank	hi CN, SCN wanted to know about the tank.
ask CN about the jeans	hi CN, SCN asked about the jeans.
please ask CN about the dinner	hi CN, SCN demanded to know about the dinner.
ask CN about the reason	hi CN, SCN would like to know the reason.
can you ask CN about the labour charge	hi CN, SCN asked about the labour charge.
ask CN about her favourite color	hi CN, SCN wanted to know about her favourite color.
can you tell CN to purchase a gas stove.	hi CN, SCN tells you to purchase a gas stove.
tell CN to build a house.	hi CN, SCN asks you to build a house.
tell CN to send a best wishes card to swapna tomorrow.	hi CN, SCN asks you to send a best wishes card to swapna tomorrow.
tell CN to wish SCN happy birthday at 12 am	hi CN, SCN tells you to wish SCN happy birthday at 12 am
can you tell CN to wish arun happy new year at 12 am	hi CN, SCN tells you to wish arun happy new year at 12 am
tell CN to buy iphone.	hi CN, SCN tells you to buy iphone.
can you ask CN to buy floral printed cushion.	hi CN, SCN asks you to buy floral printed cushion.
ask CN to talk over before we decide.	hi CN, SCN is asking you to talk over before we decide.
ask CN to call sekhar at 7pm.	hi CN, SCN tells you to call sekhar at 7pm.
can you tell CN to think up a plan at 8pm.	hi CN, SCN tells you to think up a plan at 8pm.
tell CN to be in the beach before 7am.	hi CN, SCN tells you to be in the beach before 7am
can you ask CN to look up the word in the dictionary.	hi CN, SCN asks you to look up the word in the dictionary.
tell CN to pick up the paper from office before 5pm.	hi CN, SCN tells you to pick up the paper from office before 5pm.
ask CN to plan for a punjab trip on 26th mar.	hi CN, SCN asks you to plan for a punjab trip on 26th mar.
tell CN to visit kolkata tomorrow.	hi CN, SCN tells you to visit kolkata tomorrow.
tell CN to buy dishwasher .	hi CN, SCN tells you to buy dishwasher .
can you ask CN to buy rice flour.	hi CN, SCN asks you to buy rice flour.
ask CN to point out the advantages of the proposal.	hi CN, SCN is asking you to point out the advantages of the proposal.
ask CN to call mano at 8am.	hi CN, SCN tells you to call mano at 8am.
can you tell CN to rub out all the pencil marks.	hi CN, SCN tells you to rub out all the pencil marks.
tell CN to be in the cafe before 8pm.	hi CN, SCN tells you to be in the cafe before 8pm.
can you ask CN to make up stories.	hi CN, SCN asks you to make up stories.
ask CN to pay for the printer on 25th sept.	hi CN, SCN is asking you to pay for the printer on 25th sept.
ask CN to ping mom at 8pm.	hi CN, SCN tells you to ping mom at 8pm.
can you tell CN to back up the story.	hi CN, SCN tells you to back up the story.
tell CN SCN’s dog is very friendly.	hi CN, SCN tells SCN’s dog is very friendly.
tell CN it will rain tomorrow.	hi CN, SCN tells it will rain tomorrow.
Ask CN to visit the company headquarters	SCN asks you to visit the company headquarters
Ask CN to complaint in International Labour Organisation	SCN asks you to complaint in International Labour Organisation
Ask CN to protest againt WHO 	SCN asks you to protest againt WHO 
Ask CN to attend the republic day celebration on 26th Jan	SCN asks you to attend the republic day celebration on 26th Jan
Remind CN I'm leaving tomorrow to geneva	SCN says they are leaving tomorrow to geneva
Remind CN to come to airport to send off me tomorrow	SCN asks you to come to airport to send off them tomorrow
tell CN the cobler will be available from 2:00pm in the street corner	SCN says the cobler will be available from 2:00pm in the street corner
Ask CN to bring the torn bag for stitching	SCN asks you to bring the torn bag for stitching
Tell CN his diabetics doctor appointment is at 7pm	SCN says your diabetics doctor appointment is at 7pm
Ask CN to come for the blood checkup in RD lab	SCN asks you to come for the blood checkup in RD lab
Ask CN to tell the agenda for the movement	SCN asks you to tell the agenda for the movement
Tell CN to meet Mr.Micheal in the south restaurant	SCN asks you to meet Mr.Micheal in the south restaurant
Ask CN to buy tissue paper for toilet	SCN asks you to buy tissue paper for toilet
Ask CN to buy sanitary napkins	SCN asks you to buy sanitary napkins
Ask CN to consult the doctor for his tooth	SCN asks you to consult the doctor for his tooth
Tell CN the train will arrive trichy by 7AM	SCN says the train will arrive trichy by 7AM
Tell CN its time for gaming	SCN says that its time for gaming
Remind CN his dental check up is at ten.	SCN says your dental check up is at ten.
can you remind CN that the school play starts at 8 pm sharp.	SCN says that the school play starts at 8 pm sharp.
remind CN that his car will be ready at three in the evening	SCN says that your car will be ready at three in the evening
Remind CN that signatures are due by tomorrow evening.	SCN says that signatures are due by tomorrow evening.
can you remind CN his discussion should be done by 11 pm	SCN says your discussion should be done by 11 pm
Could you tell CN that the safety meeting is at 11am this Wednesday.	SCN says that the safety meeting is at 11am this Wednesday.
Tell CN that I have to go home at 8 tonight.	SCN says that they have to go home at 8 tonight.
can you remind CN the training session starts at eight in the morning.	SCN says the training session starts at eight in the morning.
Tell CN his ATM card expires on 25th July	SCN says your ATM card expires on 25th July
Ask CN to renew his ATM card	SCN asks you to renew your ATM card
Ask CN to apply for new credit card	SCN asks you to apply for new credit card
Tell CN he is applicable for lifetime free credit card	SCN says you are applicable for lifetime free credit card
Ask CN what about axis bank?	SCN asks you what about axis bank?
Ask CN for the recipe of spaghetti	SCN asks you for the recipe of spaghetti
Ask CN to bring the eggs for cooking fried rice	SCN asks you to bring the eggs for cooking fried rice
Ask CN how about paneer fried rice	SCN asks you how about paneer fried rice
Ask CN to train the dragon before the fest	SCN asks you to train the dragon before the fest
Ask CN to teach me python	SCN asks you to teach me python
Ask CN to explore the new world	SCN asks you to explore the new world
Ask CN to come to S2 cinemas in Thiruvanmiyur	SCN asks you to come to S2 cinemas in Thiruvanmiyur
Tell CN the movie is booked in PVR cinemas	SCN says the movie is booked in PVR cinemas
Ask CN to buy sticky notes for the party	SCN asks you to buy sticky notes for the party
Invite CN for the thanks giving fest on Dec 23rd	SCN invites you for the thanks giving fest on Dec 23rd
Ask CN not to play double game	SCN asks you not to play double game
Tell CN to be honest infront of the judges	SCN asks you to be honest infront of the judges
Ask CN to file the case in supreme court	SCN asks you to file the case in supreme court
Inform CN his land has been acquised by the government for the purpose of industrialisation	SCN informs your land has been acquised by the government for the purpose of industrialisation
Ask CN to develope the infrastructural facilities in the city	SCN asks you to develope the infrastructural facilities in the city
Tell CN the government is providing compensation to the affected land owners and their rehabilitation	SCN says the government is providing compensation to the affected land owners and their rehabilitation
Ask CN to act according to the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013	SCN asks you to act according to the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013
Ask CN to buy a new cot	SCN asks you to buy a new cot
Ask CN to buy travel bag for the trip	SCN asks you to buy travel bag for the trip
Ask CN to pack his clothes in the travel bag for the trip.	SCN asks you to pack your clothes in the travel bag for the trip.
remind CN the class is in Auburn today.	SCN says the class is in Auburn today.
ask CN to pay the doctor's bill.	SCN asks you to pay the doctor's bill.
can you tell CN that the appointment is cancelled	SCN says that the appointment is cancelled
Tell CN his siblings changed the venue to north beach.	SCN says your siblings changed the venue to north beach.
Tell CN that her hairdresser is at the First Street salon.	SCN says that your hairdresser is at the First Street salon.
remind CN they need to meet me at the salon today	SCN says they need to meet me at the salon today
remind CN the tournament is at the school gym	SCN says the tournament is at the school gym
tell CN that the football match will take place in chicago	SCN says that the football match will take place in chicago
Remind CN his eye doctor is now at the mall	SCN says your eye doctor is now at the mall
Remind CN to pick up a package from the post office tomorrow at 10 am.	SCN asks you to pick up a package from the post office tomorrow at 10 am.
Tell CN BBQ nation changed the restaurant to canada	SCN says BBQ nation changed the restaurant to canada
Tell CN that they are travelling to paris on wednesday	SCN says that they are travelling to paris on wednesday
Ask CN to buy pickles at the store	SCN asks you to buy pickles at the store
Tell CN we no longer live at Yard street, we changed to deep street	SCN says they no longer live at Yard street, they changed to deep street
remind CN that he has to go to Disney Land tomorrow	SCN says that he has to go to Disney Land tomorrow
can you tell CN today we'll start to play cricket in madhapur	SCN says today they'll start to play cricket in madhapur
Can you remind CN his appointment is in Mississippi	SCN says your appointment is in Mississippi
Ask CN to change the location of dinner	SCN asks you to change the location of dinner
Tell CN that we will meet at the Thai restaurant for dinner.	SCN says that they will meet at the Thai restaurant for dinner.
Can you remind CN that I left the keys in our bedroom	SCN says that they left the keys in our bedroom
remind CN his new office is shifted to berlin	SCN says your new office is shifted to berlin
Tell CN that his car sent to port not for store.	SCN says that your car sent to port not for store.
Can you remind CN that the wedding will be held in Bellaire	SCN says that the wedding will be held in Bellaire
Tell CN that this dance meet is in Miami	SCN says that this dance meet is in Miami
Tell CN the conference venue is now at maryland.	SCN says the conference venue is now at maryland.
Ask CN if he like to be a vampire or a werewolf?	SCN asks if you like to be a vampire or a werewolf?
Ask CN if he could be able to fly or teleport?	SCN asks if you could be able to fly or teleport?
Ask CN if he could be able to fly or turn invisible?	SCN asks if you could be able to fly or turn invisible?
Ask CN if he could be able to play 10 different instruments beautifully or speak 0 different languages fluently?	SCN asks if you could be able to play 10 different instruments beautifully or speak 0 different languages fluently?
Ask CN if he could be able to run at 100 mph or fly at mph?	SCN asks if you could be able to run at 100 mph or fly at mph?
Ask CN if he like to be adopted by excellent parents or be with your crappy biological parents?	SCN asks if you like to be adopted by excellent parents or be with your crappy biological parents?
Ask CN if he like to be an FBI agent or a police detective?	SCN asks if you like to be an FBI agent or a police detective?
Ask CN if he like to be an honest asshole or a sweet liar?	SCN asks if you like to be an honest asshole or a sweet liar?
Ask CN if he like to be an introvert or an extrovert?	SCN asks if you like to be an introvert or an extrovert?
Ask CN if he like to be an ugly genius or a hot moron?	SCN asks if you like to be an ugly genius or a hot moron?
Ask CN if he like to be at the mercy of Cersei Lannister or Ramsay Bolton?	SCN asks if you like to be at the mercy of Cersei Lannister or Ramsay Bolton?
Ask CN if he like to be a sociopath or a psychopath?	SCN asks if you like to be a sociopath or a psychopath?
Ask CN if he like to be born in the future or the past?	SCN asks if you like to be born in the future or the past?
Ask CN if he like to be born white or black?	SCN asks if you like to be born white or black?
Ask CN if he like to be broke or dead?	SCN asks if you like to be broke or dead?
Ask CN if he like to be caned or spend time in prison?	SCN asks if you like to be caned or spend time in prison?
Ask CN if he could be chased by 10,000 scorpions or 10 lions?	SCN asks if you could be chased by 10,000 scorpions or 10 lions?
Ask CN if he could be chased by Godzilla or King Kong?	SCN asks if you could be chased by Godzilla or King Kong?
Ask CN if he could be constipated or have diarrhea?	SCN asks if you could be constipated or have diarrhea?
Ask CN if he like to be curvy or slim?	SCN asks if you like to be curvy or slim?
Ask CN if he like to be cute or beautiful?	SCN asks if you like to be cute or beautiful?
Ask CN if he like to be data scientist or machine learning engineer?	SCN asks if you like to be data scientist or machine learning engineer?
Ask CN if he could be deaf or blind?	SCN asks if you could be deaf or blind?
Ask CN if he like to be decent in everything or incredibly talented in one thing?	SCN asks if you like to be decent in everything or incredibly talented in one thing?
Ask CN if he could be eaten by a shark or a tiger?	SCN asks if you could be eaten by a shark or a tiger?
remind CN to attend the aws session at 5pm	hi CN, SCN wants you to attend the aws session at 5pm
remind CN to send the registration link through mail	hey CN, SCN asks you to send the registration link through mail
remind CN to collect customer feedback tomorrow	hi CN, SCN requests you to collect customer feedback tomorrow
remind CN to start exploring the data from today	hi CN SCN is asking you to start exploring the data from today
remind CN to conduct online assessment tomorrow at 2pm	hi CN, SCN is requesting you to conduct online assessment tomorrow at 2pm
remind CN to forward that mail to aaron	hi CN, SCN wants you to forward that mail to aaron
remind CN to book the hotel today evening	hey CN, SCN asks you to book the hotel today evening
remind CN to take the driving license while leaving home	hi CN, SCN requests you to take the driving license while leaving home
remind CN to watch the dolittle movie 	hi CN SCN is asking you to watch the dolittle movie 
remind CN to add couple of features to the app	hi CN, SCN is requesting you to add couple of features to the app
remind CN to make payments on the loan every month	hi CN, SCN wants you to make payments on the loan every month
remind CN to watch shutter island movie in hbo at 12pm	hey CN, SCN asks you to watch shutter island movie in hbo at 12pm
remind CN to get pizza sauce on the way to home	hi CN, SCN requests you to get pizza sauce on the way to home
remind CN to buy new jeans this month	hi CN SCN is asking you to buy new jeans this month
remind CN to buy balloons and candles for the SCNtmas celebration	hi CN, SCN is requesting you to buy balloons and candles for the SCNtmas celebration
remind CN to take teaching materials while going to school	hi CN, SCN wants you to take teaching materials while going to school
remind CN to teach in the morning from 8 to 10am	hey CN, SCN asks you to teach in the morning from 8 to 10am
remind CN to cook dinner before harry get home	hi CN, SCN requests you to cook dinner before harry get home
remind CN to make phone call to jane this evening	hi CN SCN is asking you to make phone call to jane this evening
remind CN to reserve ten seats in pacific grill restaurant in tacoma	hi CN, SCN is requesting you to reserve ten seats in pacific grill restaurant in tacoma
remind CN to install the amazon alexa app 	hi CN, SCN wants you to install the amazon alexa app 
remind CN to go to bed at 11pm	hey CN, SCN asks you to go to bed at 11pm
tell CN to go to the downstairs and get the parcel 	hi CN, SCN requests you to go to the downstairs and get the parcel 
remind CN to study for 3 hours and take a break	hi CN SCN is asking you to study for 3 hours and take a break
remind CN to take work from home option tomorrow	hi CN, SCN is requesting you to take work from home option tomorrow
tell CN to get married soon	hi CN, SCN wants you to get married soon
remind CN to submit the application form tomorrow	hey CN, SCN asks you to submit the application form tomorrow
remind CN to take bath in the warm water	hi CN, SCN requests you to take bath in the warm water
remind CN to begin the day’s work with a prayer to god	hi CN SCN is asking you to begin the day’s work with a prayer to god
remind CN to take a glass of milk and biscuit every morning	hi CN, SCN is requesting you to take a glass of milk and biscuit every morning
remind CN to double check the file and upload in the drive	hi CN, SCN wants you to double check the file and upload in the drive
tell CN to share the movie downloading link in the whatsapp group	hey CN, SCN asks you to share the movie downloading link in the whatsapp group
remind CN to take books according to the time table	hi CN, SCN requests you to take books according to the time table
remind CN to give money for the school trip today	hi CN SCN is asking you to give money for the school trip today
remind CN to return the book borrowed in the library before this friday	hi CN, SCN is requesting you to return the book borrowed in the library before this friday
remind CN to take data structures book from the library	hi CN, SCN wants you to take data structures book from the library
remind CN to take light lunch at 4:30pm	hey CN, SCN asks you to take light lunch at 4:30pm
remind CN to play hockey after returning from school	hi CN, SCN requests you to play hockey after returning from school
remind CN to pick up some apples and oranges from the supermarket	hi CN SCN is asking you to pick up some apples and oranges from the supermarket
remind CN to take claudia to the hospital this evening	hi CN, SCN is requesting you to take claudia to the hospital this evening
remind CN to have breakfast before 10am	hi CN, SCN wants you to have breakfast before 10am
remind CN to make paneer from the spoiled milk	hey CN, SCN asks you to make paneer from the spoiled milk
remind CN to stick stencil to the wall	hi CN, SCN requests you to stick stencil to the wall
remind CN to study in the early morning	hi CN SCN is asking you to study in the early morning
remind CN to look through the emails and dash off quick replies	hi CN, SCN is requesting you to look through the emails and dash off quick replies
remind CN to take medicine regularly 	hi CN, SCN wants you to take medicine regularly 
remind CN to take all team members to the conference room	hey CN, SCN asks you to take all team members to the conference room
remind CN to come and collect the prize amount today at 5pm	hi CN, SCN requests you to come and collect the prize amount today at 5pm
remind CN to get tickets for the cricket match today	hi CN SCN is asking you to get tickets for the cricket match today
remind CN to see the sunset today evening	hi CN, SCN is requesting you to see the sunset today evening
tell CN to learn cooking from his mom	hi CN, SCN wants you to learn cooking from your mom
remind CN to learn basics of programming today	hey CN, SCN asks you to learn basics of programming today
remind CN to include tax proof attachment in the mail	hi CN, SCN requests you to include tax proof attachment in the mail
remind CN to thank mary for her kindness	hi CN SCN is asking you to thank mary for her kindness
remind CN to provide instruction before starting the test 	hi CN, SCN is requesting you to provide instruction before starting the test 
remind CN to add onions to frozen pizza	hi CN, SCN wants you to add onions to frozen pizza
remind CN to provide ideas to create a new product	hey CN, SCN asks you to provide ideas to create a new product
remind CN to consider norah for the job	hi CN, SCN requests you to consider norah for the job
